won,drawn,lost,gf,ga,gd,played,team_enc,points,team,season_end_year
-0.5723094767156527,-0.2850520437787367,0.6886139083637709,-0.828349547324003,-0.044329414105305366,-0.4812867407757216,-0.33733233383160366,-0.6862453795002904,42,Coventry City,1999
-0.746619670943994,0.7304458621830118,0.31806448328838904,-0.76248938639215,0.8769617873540141,-0.9224662531534663,-0.33733233383160366,1.6272916144128913,42,Wimbledon,1999
-0.5723094767156527,-0.6235513457659861,0.8738886209014619,-0.9600698691877091,0.9537360541422907,-1.0828951667453734,-0.33733233383160366,0.9468395573796025,41,Southampton,1999
-1.0952400594006764,0.7304458621830118,0.6886139083637709,-0.6966292254602969,0.33954191983607773,-0.6016084259696519,-0.33733233383160366,-0.8223357909069482,36,Charlton Ath,1999
-1.2695502536290175,1.4074444661575107,0.50333919582608,-0.894209708255856,0.03244485268297125,-0.5615011975716752,-0.33733233383160366,-1.434742642236908,35,Blackburn,1999
-1.2695502536290175,-0.2850520437787367,1.4297127585145346,-1.0917901910514152,1.3376073880836739,-1.363645765531211,-0.33733233383160366,0.4705231174563004,30,Nottingham Forest,1999
2.390963825166148,-0.9620506477532357,-2.090506779701593,2.9915397867234725,-0.5049750148349651,2.0855758766947936,-0.33733233383160366,0.1983422946429849,91,Manchester Utd,2000
1.3451026597961007,-0.9620506477532357,-0.9788585044754475,1.410895924359,-0.6585235484115184,1.2032168519393038,-0.33733233383160366,-1.7069234650502234,73,Arsenal,2000
1.1707924655677595,-1.300549949740485,-0.6083090794000656,0.4229935103812046,-0.6585235484115184,0.6016084259696519,-0.33733233383160366,-0.14188373387365946,69,Leeds United,2000
0.8221720771110771,0.053447258208512795,-0.9788585044754475,-0.03802761614176665,-1.6565890166591144,0.8422517963575128,-0.33733233383160366,-0.00579332246700172,67,Liverpool,2000
0.6478618828827358,0.3919465601957623,-0.9788585044754475,0.09369270572193941,-1.349491949506008,0.7620373395615592,-0.33733233383160366,-0.7542905852036192,65,Chelsea,2000
0.12493130019771218,1.0689451641702612,-0.7935837919377565,-0.3673284208010318,-1.2727176827177313,0.4411795123777448,-0.33733233383160366,-1.6388782593468947,58,Aston Villa,2000
0.2992414944260534,0.053447258208512795,-0.42303436686237467,0.35713334944935154,0.33954191983607773,0.0401072283979768,-0.33733233383160366,1.0829299687862601,58,Sunderland,2000
0.2992414944260534,-0.9620506477532357,0.13278977075069812,0.22541302758564546,0.26276765304780114,0.0,-0.33733233383160366,-0.0738385281703306,55,Leicester City,2000
0.12493130019771218,0.053447258208512795,-0.23775965432468374,0.02783254479008638,0.10921911947124788,-0.0401072283979768,-0.33733233383160366,1.4912012030062334,55,West Ham,2000
0.12493130019771218,-0.6235513457659861,0.13278977075069812,0.35713334944935154,-0.19787794768185862,0.3208578271838144,-0.33733233383160366,1.2870655858962468,53,Tottenham,2000
-0.04937889403062904,0.053447258208512795,-0.05248494178699281,0.7522943150404697,0.1859933862595245,0.36096505558179115,-0.33733233383160366,0.33443270604964265,52,Newcastle Utd,2000
-0.04937889403062904,0.053447258208512795,-0.05248494178699281,-0.3673284208010318,0.03244485268297125,-0.2406433703878608,-0.33733233383160366,0.26638750034631375,52,Middlesbrough,2000
-0.3979992824873115,1.4074444661575107,-0.42303436686237467,0.48885367131305757,-0.19787794768185862,0.40107228397976796,-0.33733233383160366,-0.48210976239030384,50,Everton,2000
-0.3979992824873115,-0.6235513457659861,0.6886139083637709,-0.30146825986917875,0.1859933862595245,-0.2807505987858376,-0.33733233383160366,-0.6862453795002904,44,Coventry City,2000
-0.3979992824873115,-0.6235513457659861,0.6886139083637709,-0.4331885817328848,0.8001875205657375,-0.6818228827656055,-0.33733233383160366,0.9468395573796025,44,Southampton,2000
-0.9209298651723351,0.3919465601957623,0.6886139083637709,-0.49904874266473787,0.4163161866243544,-0.5213939691736984,-0.33733233383160366,-0.5501549680936327,38,Derby County,2000
-0.9209298651723351,-0.2850520437787367,1.0591633334391528,-0.894209708255856,1.2608331212953972,-1.2032168519393038,-0.33733233383160366,-1.1625618194235925,36,Bradford City,2000
-1.2695502536290175,0.7304458621830118,0.8738886209014619,-0.3673284208010318,1.721478722025057,-1.1230023951433503,-0.33733233383160366,1.6272916144128913,33,Wimbledon,2000
-1.0952400594006764,-0.9620506477532357,1.6149874710522256,-0.894209708255856,1.4143816548719503,-1.2834313087352576,-0.33733233383160366,0.8787943516762736,31,Sheffield Weds,2000
-1.443860447857359,-1.300549949740485,2.170811608665298,-1.0917901910514152,1.9518015223898868,-1.6845035927150256,-0.33733233383160366,1.3551107915995757,24,Watford,2000
1.6937230482527832,-0.6235513457659861,-1.5346826420885202,1.8060568899501181,-1.5798147498708377,1.9251469631028864,-0.33733233383160366,0.1983422946429849,80,Manchester Utd,2001
0.9964822713394182,0.053447258208512795,-1.1641332170131384,0.7522943150404697,-1.0423948823529015,1.00268070994942,-0.33733233383160366,-1.7069234650502234,70,Arsenal,2001
0.9964822713394182,-0.2850520437787367,-0.9788585044754475,1.279175602495294,-0.9656206155646249,1.2834313087352576,-0.33733233383160366,-0.00579332246700172,69,Liverpool,2001
0.9964822713394182,-0.6235513457659861,-0.7935837919377565,0.8181544759723227,-0.6585235484115184,0.8422517963575128,-0.33733233383160366,-0.14188373387365946,68,Leeds United,2001
0.9964822713394182,-1.300549949740485,-0.42303436686237467,0.35713334944935154,-0.735297815199795,0.6016084259696519,-0.33733233383160366,-0.20992893957698833,66,Ipswich Town,2001
0.4735516886543946,0.053447258208512795,-0.6083090794000656,1.0815951196997349,-0.5049750148349651,0.9224662531534663,-0.33733233383160366,-0.7542905852036192,61,Chelsea,2001
0.12493130019771218,0.7304458621830118,-0.6083090794000656,-0.3673284208010318,-0.8120720819880716,0.20053614198988398,-0.33733233383160366,1.0829299687862601,57,Sunderland,2001
-0.22368908825897027,1.7459437681447603,-0.7935837919377565,-0.3673284208010318,-0.6585235484115184,0.1203216851939304,-0.33733233383160366,-1.6388782593468947,54,Aston Villa,2001
-0.04937889403062904,0.053447258208512795,-0.05248494178699281,-0.10388777707361968,0.4163161866243544,-0.2807505987858376,-0.33733233383160366,-0.8223357909069482,52,Charlton Ath,2001
-0.04937889403062904,0.053447258208512795,-0.05248494178699281,-0.76248938639215,-0.2746522144701352,-0.3208578271838144,-0.33733233383160366,0.9468395573796025,52,Southampton,2001
-0.04937889403062904,-0.2850520437787367,0.13278977075069812,-0.49904874266473787,-0.12110368089358199,-0.2406433703878608,-0.33733233383160366,0.33443270604964265,51,Newcastle Utd,2001
-0.22368908825897027,0.053447258208512795,0.13278977075069812,-0.30146825986917875,0.1859933862595245,-0.2807505987858376,-0.33733233383160366,1.2870655858962468,49,Tottenham,2001
