match_id,Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,home_form,home_avg_gf,home_avg_ga,home_h2h,home_h2h_prev_meetings,away_form,away_avg_gf,away_avg_ga,away_h2h,away_h2h_prev_meetings,month,day_of_week,result_label,home_team_enc,away_team_enc
0,2000/01,2000-08-19,Charlton,Man City,4,0,H,1.4,1.2210420393559929,1.35,1.3333333333333333,0,1.4,1.2222222222222223,1.3461538461538463,1.4,0,8,5,0,12,26
1,2000/01,2000-08-19,Chelsea,West Ham,4,2,H,1.4,1.2210420393559929,1.35,1.3333333333333333,0,1.4,1.2222222222222223,1.3461538461538463,1.4,0,8,5,0,13,43
2,2000/01,2000-08-19,Coventry,Middlesbrough,1,3,A,1.4,1.2210420393559929,1.35,1.3333333333333333,0,1.4,1.2222222222222223,1.3461538461538463,1.4,0,8,5,2,14,28
3,2000/01,2000-08-19,Derby,Southampton,2,2,D,1.4,1.2210420393559929,1.35,1.3333333333333333,0,1.4,1.2222222222222223,1.3461538461538463,1.4,0,8,5,1,16,36
4,2000/01,2000-08-19,Leeds,Everton,2,0,H,1.4,1.2210420393559929,1.35,1.3333333333333333,0,1.4,1.2222222222222223,1.3461538461538463,1.4,0,8,5,0,22,17
5,2000/01,2000-08-19,Leicester,Aston Villa,0,0,D,1.4,1.2210420393559929,1.35,1.3333333333333333,0,1.4,1.2222222222222223,1.3461538461538463,1.4,0,8,5,1,23,1
6,2000/01,2000-08-19,Liverpool,Bradford,1,0,H,1.4,1.2210420393559929,1.35,1.3333333333333333,0,1.4,1.2222222222222223,1.3461538461538463,1.4,0,8,5,0,24,7
7,2000/01,2000-08-19,Sunderland,Arsenal,1,0,H,1.4,1.2210420393559929,1.35,1.3333333333333333,0,1.4,1.2222222222222223,1.3461538461538463,1.4,0,8,5,0,38,0
8,2000/01,2000-08-19,Tottenham,Ipswich,3,1,H,1.4,1.2210420393559929,1.35,1.3333333333333333,0,1.4,1.2222222222222223,1.3461538461538463,1.4,0,8,5,0,40,21
9,2000/01,2000-08-20,Man United,Newcastle,2,0,H,1.4,1.2210420393559929,1.35,1.3333333333333333,0,1.4,1.2222222222222223,1.3461538461538463,1.4,0,8,6,0,27,29
10,2000/01,2000-08-21,Arsenal,Liverpool,2,0,H,0.0,0.0,1.0,1.3333333333333333,0,3.0,1.0,0.0,1.4,0,8,0,0,0,24
11,2000/01,2000-08-22,Bradford,Chelsea,2,0,H,0.0,0.0,1.0,1.3333333333333333,0,3.0,4.0,2.0,1.4,0,8,1,0,7,13
12,2000/01,2000-08-22,Ipswich,Man United,1,1,D,0.0,1.0,3.0,1.3333333333333333,0,3.0,2.0,0.0,1.4,0,8,1,1,21,27
13,2000/01,2000-08-22,Middlesbrough,Tottenham,1,1,D,3.0,3.0,1.0,1.3333333333333333,0,3.0,3.0,1.0,1.4,0,8,1,1,28,40
14,2000/01,2000-08-23,West Ham,Leicester,0,1,A,0.0,2.0,4.0,1.3333333333333333,0,1.0,0.0,0.0,1.4,0,8,2,2,43,23
15,2000/01,2000-08-23,Newcastle,Derby,3,2,H,0.0,0.0,2.0,1.3333333333333333,0,1.0,2.0,2.0,1.4,0,8,2,0,29,16
16,2000/01,2000-08-23,Southampton,Coventry,1,2,A,1.0,2.0,2.0,1.3333333333333333,0,0.0,1.0,3.0,1.4,0,8,2,2,36,14
17,2000/01,2000-08-23,Everton,Charlton,3,0,H,0.0,0.0,2.0,1.3333333333333333,0,3.0,4.0,0.0,1.4,0,8,2,0,17,12
18,2000/01,2000-08-23,Man City,Sunderland,4,2,H,0.0,0.0,4.0,1.3333333333333333,0,3.0,1.0,0.0,1.4,0,8,2,0,26,38
19,2000/01,2000-08-26,Southampton,Liverpool,3,3,D,0.5,1.5,2.0,1.3333333333333333,0,1.5,0.5,1.0,1.4,0,8,5,1,36,24
20,2000/01,2000-08-26,Arsenal,Charlton,5,3,H,1.5,1.0,0.5,1.3333333333333333,0,1.5,2.0,1.5,1.4,0,8,5,0,0,12
21,2000/01,2000-08-26,Bradford,Leicester,0,0,D,1.5,1.0,0.5,1.3333333333333333,0,2.0,0.5,0.0,1.4,0,8,5,1,7,23
22,2000/01,2000-08-26,Everton,Derby,2,2,D,1.5,1.5,1.0,1.3333333333333333,0,0.5,2.0,2.5,1.4,0,8,5,1,17,16
23,2000/01,2000-08-26,Ipswich,Sunderland,1,0,H,0.5,1.0,2.0,1.3333333333333333,0,1.5,1.5,2.0,1.4,0,8,5,0,21,38
24,2000/01,2000-08-26,Man City,Coventry,1,2,A,1.5,2.0,3.0,1.3333333333333333,0,1.5,1.5,2.0,1.4,0,8,5,2,26,14
25,2000/01,2000-08-26,Middlesbrough,Leeds,1,2,A,2.0,2.0,1.0,1.3333333333333333,0,3.0,2.0,0.0,1.4,0,8,5,2,28,22
26,2000/01,2000-08-26,Newcastle,Tottenham,2,0,H,1.5,1.5,2.0,1.3333333333333333,0,2.0,2.0,1.0,1.4,0,8,5,0,29,40
27,2000/01,2000-08-26,West Ham,Man United,2,2,D,0.0,1.0,2.5,1.3333333333333333,0,2.0,1.5,0.5,1.4,0,8,5,1,43,27
28,2000/01,2000-08-27,Aston Villa,Chelsea,1,1,D,1.0,0.0,0.0,1.3333333333333333,0,1.5,2.0,2.0,1.4,0,8,6,1,1,13
29,2000/01,2000-09-05,Leeds,Man City,1,2,A,3.0,2.0,0.5,1.3333333333333333,0,1.0,1.6666666666666667,2.6666666666666665,1.4,0,9,1,2,22,26
