team,gf,ga,gd,points
Everton,48,49,-1,59
Southampton,43,46,-3,52
Manchester City,47,54,-7,51
Tottenham,51,62,-11,50
Middlesbrough,48,44,4,49
Charlton Ath,45,56,-11,49
Birmingham City,41,49,-8,48
Fulham,41,50,-9,48
Leeds United,58,57,1,47
Aston Villa,42,47,-5,45
Bolton,41,51,-10,44
West Ham,42,59,-17,42
West Brom,29,65,-36,26
Sunderland,21,65,-44,19
Arsenal,73,26,47,90
Chelsea,67,30,37,79
Manchester Utd,64,35,29,75
Liverpool,55,37,18,60
Newcastle Utd,52,40,12,56
Aston Villa,48,44,4,56
Charlton Ath,51,51,0,53
Bolton,48,56,-8,53
Fulham,52,46,6,52
Birmingham City,43,48,-5,50
Middlesbrough,44,52,-8,48
Southampton,44,45,-1,47
Portsmouth,47,54,-7,45
Tottenham,47,57,-10,45
Blackburn,51,59,-8,44
Manchester City,55,54,1,41
Everton,45,57,-12,39
Leicester City,48,65,-17,33
Leeds United,40,79,-39,33
Wolves,38,77,-39,33
Chelsea,72,15,57,95
Arsenal,87,36,51,83
Manchester Utd,58,26,32,77
Everton,45,46,-1,61
Liverpool,52,41,11,58
Bolton,49,44,5,58
Middlesbrough,53,46,7,55
Manchester City,47,39,8,52
Tottenham,47,41,6,52
Aston Villa,45,52,-7,47
Charlton Ath,42,58,-16,46
Birmingham City,40,46,-6,45
Fulham,52,60,-8,44
Newcastle Utd,47,57,-10,44
Blackburn,32,43,-11,42
Portsmouth,43,59,-16,39
West Brom,36,61,-25,34
Crystal Palace,41,62,-21,33
Norwich City,42,77,-35,33
Southampton,45,66,-21,32
Chelsea,72,22,50,91
Manchester Utd,72,34,38,83
Liverpool,57,25,32,82
Arsenal,68,31,37,67
Tottenham,53,38,15,65
Blackburn,51,42,9,63
Newcastle Utd,47,42,5,58
Bolton,49,41,8,56
West Ham,52,55,-3,55
Wigan Athletic,45,52,-7,51
Everton,34,49,-15,50
Fulham,48,58,-10,48
Charlton Ath,41,55,-14,47
Middlesbrough,48,58,-10,45
Manchester City,43,48,-5,43
Aston Villa,42,55,-13,42
Portsmouth,37,62,-25,38
Birmingham City,28,50,-22,34
West Brom,31,58,-27,30
Sunderland,26,69,-43,15
Manchester Utd,83,27,56,89
Chelsea,64,24,40,83
Liverpool,57,27,30,68
Arsenal,63,35,28,68
Tottenham,57,54,3,60
Everton,52,36,16,58
Bolton,47,52,-5,56
Reading,52,47,5,55
Portsmouth,45,42,3,54
Blackburn,52,54,-2,52
Aston Villa,43,41,2,50
Middlesbrough,44,49,-5,46
Newcastle Utd,38,47,-9,43
Manchester City,29,44,-15,42
West Ham,35,59,-24,41
Fulham,38,60,-22,39
Wigan Athletic,37,59,-22,38
Sheffield Utd,32,55,-23,38
Charlton Ath,34,60,-26,34
Watford,29,59,-30,28
Manchester Utd,80,22,58,87
Chelsea,65,26,39,85
Arsenal,74,31,43,83
Liverpool,67,28,39,76
Everton,55,33,22,65
Aston Villa,71,51,20,60
Blackburn,50,48,2,58
Portsmouth,48,40,8,57
Manchester City,45,53,-8,55
West Ham,42,50,-8,49
Tottenham,66,61,5,46
Newcastle Utd,45,65,-20,43
Middlesbrough,43,53,-10,42
Wigan Athletic,34,51,-17,40
Sunderland,36,59,-23,39
Bolton,36,54,-18,37
Fulham,38,60,-22,36
Reading,41,66,-25,36
Birmingham City,46,62,-16,35
Derby County,20,89,-69,11
Manchester Utd,68,24,44,90
Liverpool,77,27,50,86
Chelsea,68,24,44,83
Arsenal,68,37,31,72
Everton,55,37,18,63
Aston Villa,54,48,6,62
Fulham,39,34,5,53
Tottenham,45,45,0,51
West Ham,42,45,-3,51
Manchester City,58,50,8,50
Wigan Athletic,34,45,-11,45
Stoke City,38,55,-17,45
Bolton,41,53,-12,41
Portsmouth,38,57,-19,41
Blackburn,40,60,-20,41
Sunderland,34,54,-20,36
Hull City,39,64,-25,35
Newcastle Utd,40,59,-19,34
Middlesbrough,28,57,-29,32
West Brom,36,67,-31,32
Chelsea,103,32,71,86
Manchester Utd,86,28,58,85
Arsenal,83,41,42,75
Tottenham,67,41,26,70
Manchester City,73,45,28,67
Aston Villa,52,39,13,64
Liverpool,61,35,26,63
Everton,60,49,11,61
Birmingham City,38,47,-9,50
Blackburn,41,55,-14,50
Stoke City,34,48,-14,47
Fulham,39,46,-7,46
Sunderland,48,56,-8,44
Bolton,42,67,-25,39
Wolves,32,56,-24,38
Wigan Athletic,37,79,-42,36
West Ham,47,66,-19,35
Burnley,42,82,-40,30
Hull City,34,75,-41,30
Portsmouth,34,66,-32,19
Manchester Utd,78,37,41,80
Chelsea,69,33,36,71
Manchester City,60,33,27,71
Arsenal,72,43,29,68
Tottenham,55,46,9,62
Liverpool,59,44,15,58
Everton,51,45,6,54
Fulham,49,43,6,49
Aston Villa,48,59,-11,48
Sunderland,45,56,-11,47
West Brom,56,71,-15,47
Newcastle Utd,56,57,-1,46
Stoke City,46,48,-2,46
Bolton,52,56,-4,46
Blackburn,46,59,-13,43
Wigan Athletic,40,61,-21,42
Wolves,46,66,-20,40
Birmingham City,37,58,-21,39
Blackpool,55,78,-23,39
West Ham,43,70,-27,33
Manchester City,93,29,64,89
Manchester Utd,89,33,56,89
Arsenal,74,49,25,70
Tottenham,66,41,25,69
Newcastle Utd,56,51,5,65
Chelsea,65,46,19,64
Everton,50,40,10,56
Liverpool,47,40,7,52
Fulham,48,51,-3,52
West Brom,45,52,-7,47
Swansea City,44,51,-7,47
Norwich City,52,66,-14,47
Sunderland,45,46,-1,45
Stoke City,36,53,-17,45
Wigan Athletic,42,62,-20,43
Aston Villa,37,53,-16,38
QPR,43,66,-23,37
Bolton,46,77,-31,36
Blackburn,48,78,-30,31
Wolves,40,82,-42,25
Manchester Utd,86,43,43,89
Manchester City,66,34,32,78
Chelsea,75,39,36,75
Arsenal,72,37,35,73
Tottenham,66,46,20,72
Everton,55,40,15,63
Liverpool,71,43,28,61
West Brom,53,57,-4,49
Swansea City,47,51,-4,46
West Ham,45,53,-8,46
Norwich City,41,58,-17,44
Fulham,50,60,-10,43
Stoke City,34,45,-11,42
Southampton,49,60,-11,41
Aston Villa,47,69,-22,41
Newcastle Utd,45,68,-23,41
Sunderland,41,54,-13,39
Wigan Athletic,47,73,-26,36
Reading,43,73,-30,28
QPR,30,60,-30,25
Manchester City,102,37,65,86
Liverpool,101,50,51,84
Chelsea,71,27,44,82
Arsenal,68,41,27,79
Everton,61,39,22,72
