Season,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards
12,29,42,2,1,2,1,0,2,10,8,6,4,6,4,13,7,3,2,0,0
12,36,40,1,2,0,0,2,0,11,11,6,4,2,3,14,8,0,3,0,0
12,18,17,2,2,1,1,0,2,8,26,5,15,5,9,16,9,3,1,0,0
12,27,0,2,1,2,1,0,2,11,7,7,3,6,1,13,13,5,3,0,1
12,30,37,1,0,2,1,0,2,12,8,8,3,9,1,11,13,1,5,0,0
12,38,1,0,1,0,0,0,1,11,9,1,6,6,7,10,17,2,3,0,0
12,39,13,1,1,1,0,0,1,9,11,7,7,8,6,12,9,4,1,0,0
12,40,44,0,1,0,0,0,1,13,7,10,4,9,3,10,11,1,1,0,0
12,43,26,0,0,1,0,0,1,6,18,1,8,3,7,11,12,3,0,0,0
12,24,29,1,1,1,0,1,0,20,10,12,3,14,3,10,13,0,1,0,1
12,33,34,1,1,1,0,1,0,23,18,12,8,8,8,11,15,0,2,0,0
12,42,36,2,0,2,1,0,2,16,9,6,5,8,6,6,12,1,0,0,0
12,0,18,3,3,1,2,2,1,15,9,9,5,8,6,12,10,1,2,0,0
12,1,27,2,3,0,1,0,2,10,16,7,7,5,6,12,7,1,1,0,0
12,17,38,2,1,2,0,1,0,16,6,10,4,6,2,14,14,1,3,0,0
12,34,30,0,0,1,0,0,1,7,10,3,3,10,3,9,16,0,1,0,0
12,36,39,1,1,1,0,0,1,11,5,5,3,10,6,11,10,2,2,0,0
12,37,33,1,0,2,0,0,1,10,17,5,8,5,5,11,16,2,3,0,0
12,44,42,1,2,0,1,2,0,14,7,6,4,5,8,9,13,1,4,0,0
12,13,24,1,1,1,1,0,2,12,9,3,5,4,7,12,13,1,3,0,0
12,26,40,2,1,2,0,1,0,16,6,8,2,8,2,16,7,1,2,0,0
12,29,43,0,1,0,0,1,0,14,10,9,5,11,4,8,14,1,2,0,0
12,0,40,5,2,2,3,1,2,13,6,10,4,6,6,13,12,1,2,0,1
12,24,44,3,0,2,0,0,1,22,9,11,3,10,5,9,11,0,3,0,0
12,26,1,5,0,2,1,0,2,21,10,8,8,9,4,9,4,0,1,0,0
12,29,39,1,2,0,0,0,1,27,15,10,9,5,4,7,7,1,3,0,0
12,30,27,1,0,2,0,0,1,10,12,5,9,0,12,10,7,0,1,0,0
12,33,36,1,3,0,0,2,0,13,21,7,15,4,13,12,9,1,0,0,0
12,34,17,2,1,2,0,1,0,12,21,4,11,7,13,11,11,3,2,0,0
12,42,13,2,1,2,1,1,1,8,19,6,12,0,12,7,13,0,0,0,0
12,18,38,1,3,0,0,0,1,18,12,13,9,4,4,9,13,1,3,1,0
12,43,37,1,1,1,0,1,0,16,12,11,6,12,4,8,9,1,0,0,0
12,1,0,0,0,1,0,0,1,10,13,8,6,7,6,6,9,1,0,0,0
12,17,30,1,1,1,1,0,2,14,8,9,4,4,2,10,18,0,3,0,0
12,27,33,3,1,2,0,0,1,15,10,10,6,9,7,6,10,1,1,0,0
12,37,18,1,0,2,1,0,2,12,8,3,5,7,2,14,11,1,1,0,0
12,38,42,2,4,0,0,2,0,19,11,12,6,7,2,12,15,2,3,0,0
12,44,34,3,2,2,0,1,0,19,16,11,10,9,5,15,9,2,0,0,0
12,13,26,0,0,1,0,0,1,5,11,1,7,6,11,9,16,0,3,0,0
12,36,29,2,0,2,1,0,2,17,8,10,3,4,3,12,14,2,2,0,0
12,39,24,0,0,1,0,0,1,17,21,8,14,7,6,6,10,1,0,0,0
12,40,43,3,1,2,1,0,2,25,10,13,6,4,2,9,10,1,2,0,0
12,1,34,1,0,2,0,0,1,15,11,7,6,8,3,10,5,1,0,0,0
12,38,33,0,0,1,0,0,1,13,13,8,9,5,8,10,15,1,3,0,0
12,13,18,0,0,1,0,0,1,17,8,13,7,10,2,10,11,3,0,0,0
12,17,0,1,1,1,1,1,1,14,12,10,9,6,6,15,9,2,1,0,0
12,27,43,1,0,2,1,0,2,23,9,13,3,5,5,7,9,1,1,0,0
12,36,30,1,1,1,1,1,1,8,9,2,5,3,7,11,7,1,1,0,0
12,37,29,2,1,2,0,0,1,11,7,5,6,7,2,12,12,2,2,0,0
12,39,42,3,1,2,3,1,2,13,6,8,2,5,2,10,16,0,4,0,0
12,40,24,2,1,2,2,0,2,14,14,7,9,1,12,4,14,1,2,0,0
12,44,26,0,2,0,0,0,1,9,15,4,6,6,6,13,12,1,1,0,0
12,0,39,0,2,0,0,0,1,10,12,8,10,8,5,11,9,1,0,0,0
12,18,40,0,3,0,0,0,1,8,10,2,6,2,1,10,8,0,2,0,0
12,24,36,1,0,2,1,0,2,24,8,11,4,10,4,10,8,2,0,0,0
12,26,17,1,1,1,1,1,1,9,8,6,5,5,2,16,12,2,1,0,0
12,33,1,1,1,1,1,1,1,17,7,12,3,11,4,5,6,1,2,0,0
12,34,27,3,4,0,3,4,0,10,10,7,5,6,1,10,12,1,1,0,0
12,42,37,0,1,0,0,0,1,14,6,11,4,5,5,8,15,0,3,0,0
12,43,13,3,1,2,0,1,0,16,16,13,9,14,5,15,6,1,2,0,0
12,30,38,2,1,2,2,1,2,7,16,5,6,2,6,11,16,0,2,0,0
12,29,44,3,0,2,2,0,2,16,9,8,4,4,4,12,14,1,3,0,1
12,0,42,2,0,2,1,0,2,16,7,7,2,7,4,11,12,2,3,0,0
12,1,37,0,0,1,0,0,1,9,1,5,0,3,2,8,13,0,1,0,1
12,36,34,1,0,2,0,0,1,18,6,9,2,7,4,11,10,0,0,0,0
12,38,13,1,3,0,0,2,0,14,11,10,5,11,1,11,14,1,3,0,0
12,39,30,3,4,0,0,3,0,21,10,10,8,6,2,12,9,2,1,0,0
12,44,33,2,2,1,1,1,1,14,8,9,4,11,4,7,11,0,1,0,0
12,17,40,2,1,2,0,0,1,17,8,11,6,4,4,10,9,2,2,0,0
12,26,27,2,3,0,0,2,0,16,8,11,3,8,2,11,9,4,3,0,0
12,43,24,2,3,0,2,1,2,9,16,6,8,2,5,12,10,1,2,0,0
12,18,29,2,1,2,1,0,2,16,20,7,13,5,4,13,11,0,0,0,0
12,38,34,3,0,2,2,0,2,16,12,11,5,6,8,8,11,2,1,0,0
12,24,1,1,3,0,0,2,0,26,9,17,6,7,2,4,11,1,2,0,0
12,27,38,3,1,2,2,0,2,15,13,6,10,9,9,13,10,0,0,0,0
12,29,26,1,3,0,0,2,0,17,16,8,10,12,7,9,16,3,2,0,0
12,30,44,2,1,2,1,0,2,16,12,10,6,7,3,7,4,3,1,0,0
12,33,18,2,1,2,0,0,1,19,6,9,3,3,3,10,14,1,2,0,0
12,37,17,1,1,1,0,1,0,14,9,8,5,4,8,11,13,1,0,0,0
12,40,39,1,0,2,0,0,1,24,4,16,0,9,3,12,8,2,3,0,0
12,42,43,0,0,1,0,0,1,19,10,10,2,8,2,12,9,3,3,0,0
12,34,0,2,5,0,0,3,0,7,25,5,17,3,7,8,4,1,1,0,0
